# 51842 of 51842
# Minimum x: 0
# Minimum y: 0
# Minimum z: 0
# Maximum x: 141.0981
# Maximum y: 176.00237
# Maximum z: 130.5685
# <local id> <pos x> <pos y> <pos z> <type>
# Number of local subdomains: 1
# Local subdomain 0 boundaries (0, 0, 0) - (141.0981, 176.00237, 130.5685)
# ID, Position (x y z), type 
260 15.894800 61.893140 55.198690 ex
261 15.775840 63.243210 53.829700 ex
262 17.393780 61.945770 56.813220 ex
263 14.012790 61.553120 56.250830 ex
264 14.366260 64.447510 53.980490 ex
265 11.583570 70.316740 53.895440 ex
266 12.450490 69.867200 53.976130 ex
267 16.705990 81.637490 62.099070 ex
268 14.147920 81.692910 61.709120 ex
269 8.785400 69.910700 52.592560 ex
270 19.594880 66.274790 53.047620 ex
271 16.040170 66.871720 54.038860 ex
272 20.451310 69.338130 53.308230 ex
273 12.969670 75.879630 51.537080 ex
274 9.517840 76.288120 51.180290 ex
275 23.006650 53.695980 43.857870 ex
276 24.497470 55.351950 42.134850 ex
277 10.484850 61.965220 36.043970 ex
278 21.976250 61.012360 36.401380 ex
279 6.598580 71.906190 35.506600 ex
280 10.523260 70.896500 49.468250 ex
281 9.012100 70.219060 48.999130 ex
282 4.791960 78.949720 48.419080 ex
283 6.431190 79.090090 48.431780 ex
284 23.810680 79.997700 58.471210 ex
285 5.525740 77.496420 50.377270 ex
286 4.368160 78.689450 49.889650 ex
287 6.663250 78.208130 49.338520 ex
288 14.315870 83.692950 41.779200 ex
289 17.429960 69.905590 53.991390 ex
290 14.028250 69.741650 54.451550 ex
291 20.207980 68.690800 53.274960 ex
292 8.354790 63.739170 45.879470 ex
293 9.796140 80.293900 45.286840 ex
294 17.508860 78.477300 44.007160 ex
295 17.598490 78.369140 45.577150 ex
296 5.560910 63.269490 66.174770 ex
297 8.450140 62.381880 64.541240 ex
298 5.237150 63.389690 64.650710 ex
299 4.308960 64.138780 66.496780 ex
300 7.166850 62.572960 63.639680 ex
301 5.940420 63.144060 63.522750 ex
302 3.985190 64.260060 64.972710 ex
303 9.442060 61.927840 62.615590 ex
304 7.244110 62.488640 61.951940 ex
305 6.017680 63.059750 61.835010 ex
306 10.555290 61.568350 61.888970 ex
307 12.612360 61.150330 61.204390 ex
308 10.424850 61.350240 60.491960 ex
309 8.302440 62.082400 61.505570 ex
310 8.855210 61.780980 59.987720 ex
311 5.401250 63.417310 61.086390 ex
312 5.688640 63.696050 59.072300 ex
313 4.025260 64.621050 61.420860 ex
314 15.181900 61.421240 59.195330 ex
315 11.598590 61.098480 59.893430 ex
316 11.796050 61.095150 58.394800 ex
317 8.742550 62.077760 58.465090 ex
318 6.712680 63.873820 57.669220 ex
319 4.564820 64.738680 58.691000 ex
320 13.873960 61.001710 57.877050 ex
321 10.508610 61.644780 57.470790 ex
322 8.031700 63.153900 57.506250 ex
323 11.039650 62.450360 56.001400 ex
324 9.570860 63.587890 55.749960 ex
325 6.491290 65.655770 55.927900 ex
326 12.464880 62.453230 55.299180 ex
327 12.937320 63.998640 54.397840 ex
328 10.005680 64.815270 55.193570 ex
329 14.756410 66.288190 54.215000 ex
330 11.946910 65.224240 54.543540 ex
331 12.788560 71.425250 53.223420 ex
332 14.365280 71.299710 53.698810 ex
333 4.477290 65.724310 57.075560 ex
334 3.672510 65.163830 59.925650 ex
335 12.281680 66.762370 54.999100 ex
336 9.100980 66.147240 55.272380 ex
337 18.484830 66.989330 53.286670 ex
338 22.286420 49.752820 55.356130 ex
339 21.351360 72.564950 69.375220 ex
340 26.164890 74.884740 69.806520 ex
341 6.746280 74.261690 66.501560 ex
342 8.568460 78.830140 68.386990 ex
343 13.799020 81.474570 60.153770 ex
344 9.730340 79.754170 67.872160 ex
345 9.710180 80.944960 67.354970 ex
346 7.764260 82.381660 67.236930 ex
347 9.595080 83.636900 64.921680 ex
348 17.091520 85.502520 60.122670 ex
349 19.256460 84.509180 59.730430 ex
350 17.490800 85.883560 60.220380 ex
351 14.529210 89.409220 59.598770 ex
352 7.608390 66.642050 55.150610 ex
353 3.312330 66.563570 57.344380 ex
354 5.379720 66.463630 55.715650 ex
355 2.896460 67.442140 56.372660 ex
356 2.749610 66.257070 59.136810 ex
357 17.976080 68.149860 54.010890 ex
358 11.832710 71.575350 52.032540 ex
359 17.641630 72.628060 53.084940 ex
360 17.808190 73.955250 52.224070 ex
361 10.506140 62.012430 36.028160 ex
362 8.122610 63.504930 35.390200 ex
363 6.543620 69.581420 38.778170 ex
364 6.202700 69.129490 39.799090 ex
365 20.011450 70.675120 31.186660 ex
366 7.856390 72.369100 36.206830 ex
367 12.755150 79.211290 21.809100 ex
368 10.711480 78.467510 47.033970 ex
369 2.185240 80.784860 27.227530 ex
370 26.587800 73.413160 67.213800 ex
371 26.989420 74.885630 66.767610 ex
372 17.242550 77.522040 48.702900 ex
373 23.875020 79.870320 58.937480 ex
374 14.583380 83.118060 42.073020 ex
375 26.303080 77.586800 63.078790 ex
376 23.518670 80.002180 60.885520 ex
377 26.278830 77.567190 62.212650 ex
378 17.382690 71.480450 53.535860 ex
379 8.920070 68.729040 54.252420 ex
380 3.647310 68.648660 54.840520 ex
381 1.907940 68.630990 56.526900 ex
382 18.580380 69.268750 53.952530 ex
383 15.560620 72.200190 53.224220 ex
384 18.569340 72.332300 52.870500 ex
385 19.047690 73.285720 52.039040 ex
386 18.420960 71.757690 53.294900 ex
387 15.485640 73.880940 52.273160 ex
388 9.321510 78.564980 47.795270 ex
389 7.856210 79.232060 47.488400 ex
390 7.477840 68.340050 54.221610 ex
391 5.947680 69.399530 53.735610 ex
392 4.966660 68.510480 54.452340 ex
393 6.379980 71.081580 52.873670 ex
394 2.659830 69.837510 54.994770 ex
395 24.702390 55.369340 41.558640 ex
396 27.026590 59.397360 40.109820 ex
397 26.654530 45.403290 59.065630 ex
398 23.211770 54.443570 42.271180 ex
399 25.008190 56.622500 40.381590 ex
400 22.046260 60.778910 36.622740 ex
401 14.488980 77.093670 24.321130 ex
402 14.736680 88.651600 25.895490 ex
403 3.478510 80.500790 26.656420 ex
404 13.534260 87.623530 26.711220 ex
405 13.847120 87.955690 26.875680 ex
406 41.283800 69.434930 47.390150 ex
407 38.098080 73.230620 44.867600 ex
408 17.457110 77.910100 45.394830 ex
409 22.617920 76.937750 68.198470 ex
410 24.506660 78.043830 65.689530 ex
411 23.895420 78.743160 65.023150 ex
412 17.615610 80.791940 65.507230 ex
413 23.245920 80.573980 59.427920 ex
414 14.570560 70.760160 71.990890 ex
415 25.632750 75.822580 70.685200 ex
416 23.572540 75.184760 70.667190 ex
417 12.829480 74.571850 52.279540 ex
418 23.017330 80.125830 63.089860 ex
419 15.758140 70.463150 54.391880 ex
420 4.666270 76.100210 26.236710 ex
421 15.112710 76.551930 25.213290 ex
422 7.444310 76.272170 20.774920 ex
423 10.496770 79.133900 17.167130 ex
424 10.492190 79.765280 15.689580 ex
425 15.441690 82.934990 31.020030 ex
426 17.624070 77.219330 48.879150 ex
427 16.404300 77.498560 49.014290 ex
428 4.954980 74.345800 30.322980 ex
429 17.288150 76.724840 50.016890 ex
430 8.193240 78.081320 29.365480 ex
431 16.338700 83.826820 30.869190 ex
432 32.547350 113.517090 75.723990 ex
433 31.535010 114.587920 75.917560 ex
434 11.448350 80.605500 69.607470 ex
435 18.008290 80.779510 66.972800 ex
436 15.025270 82.138810 68.285870 ex
437 14.143410 83.072490 67.773780 ex
438 14.738790 84.797970 65.918860 ex
439 11.990650 85.388420 66.276680 ex
440 13.581740 85.551520 65.085340 ex
441 30.769560 113.039290 75.885620 ex
442 28.314310 111.698870 80.960280 ex
443 16.728080 79.387360 67.815490 ex
444 15.600910 79.694700 67.162320 ex
445 16.489680 80.956450 65.067640 ex
446 6.467910 79.698870 68.307470 ex
447 13.920830 81.140020 64.683200 ex
448 11.130010 81.097650 66.401020 ex
449 12.795320 81.898850 63.991750 ex
450 6.807200 81.109520 67.948910 ex
451 5.566040 81.849020 67.322010 ex
452 8.944240 82.296030 66.981590 ex
453 22.110830 82.185190 58.024730 ex
454 28.125790 84.630060 49.269060 ex
455 18.857180 84.128140 59.632720 ex
456 28.725350 87.445370 56.393710 ex
457 28.075350 88.172540 58.020130 ex
458 24.580290 89.096150 61.864400 ex
459 27.342200 89.387150 57.937730 ex
460 22.189790 89.252900 62.070180 ex
461 25.596150 89.487380 60.902260 ex
462 12.300540 71.658190 53.279050 ex
463 5.403930 76.101780 51.579880 ex
464 8.466950 71.276060 52.657450 ex
465 2.671840 71.666180 54.584230 ex
466 18.927160 74.202100 51.384750 ex
467 15.130770 71.802930 53.823750 ex
468 2.931480 77.852210 56.268670 ex
469 3.909390 72.948340 53.618560 ex
470 1.706700 72.554910 55.611180 ex
471 5.649020 72.663530 52.779070 ex
472 3.791290 74.451910 54.172120 ex
473 8.876840 76.794930 20.758810 ex
474 11.697800 82.577910 58.993440 ex
475 8.649390 73.153590 52.233730 ex
476 6.894930 74.117080 52.344040 ex
477 8.340530 68.734900 48.110680 ex
478 17.691420 75.145860 51.242100 ex
479 1.994780 75.879700 42.311140 ex
480 16.551350 75.057290 51.610690 ex
481 15.843130 76.572310 50.444340 ex
482 19.484290 76.031230 49.543650 ex
483 9.167510 82.170330 16.119760 ex
484 16.205630 72.752930 53.313150 ex
485 13.999260 73.662260 52.737250 ex
486 3.527770 76.225740 55.035110 ex
487 10.560830 78.343790 76.041500 ex
488 2.194340 80.357930 62.472260 ex
489 11.336100 72.656500 52.621630 ex
490 4.226350 75.544620 53.796840 ex
491 6.801450 77.785670 49.519110 ex
492 9.747450 73.420950 52.349960 ex
493 11.646380 74.133930 52.347240 ex
494 19.633020 75.963420 49.606860 ex
495 18.202980 76.382740 49.940610 ex
496 2.493650 74.183750 55.304980 ex
497 2.758510 75.097320 56.037630 ex
498 43.319030 66.432740 48.943210 ex
499 22.845850 77.389520 89.708110 ex
500 25.338880 73.921290 69.546020 ex
501 15.410770 73.832910 52.723940 ex
502 10.058780 74.898370 52.075620 ex
503 6.591400 75.517190 51.837120 ex
504 19.676920 71.634570 31.086910 ex
505 13.538520 78.589640 44.337180 ex
506 13.455270 76.116570 50.983540 ex
507 4.403920 76.079180 52.550990 ex
508 13.764590 74.633180 51.896810 ex
509 14.468100 76.880430 50.193440 ex
510 11.640940 76.551700 50.645480 ex
511 18.594400 74.581500 51.548520 ex
512 16.194000 74.664880 52.093970 ex
513 61.202560 77.038580 49.668280 ex
514 10.712250 78.200280 76.053610 ex
515 29.797240 68.478130 67.035820 ex
516 31.032450 69.369760 65.992330 ex
517 31.073450 68.327080 66.692610 ex
518 18.688450 77.400770 71.832680 ex
519 18.433970 76.023730 50.281760 ex
520 3.123910 77.184250 55.028830 ex
521 3.604480 77.446820 51.979110 ex
522 5.517930 77.243480 49.963850 ex
523 15.834390 75.992240 51.153630 ex
524 14.457830 76.395920 50.910600 ex
525 18.676850 73.696610 30.019910 ex
526 11.334880 77.734100 17.852260 ex
527 1.982060 75.805400 29.986520 ex
528 5.169020 75.883160 28.962440 ex
529 3.563950 76.536400 28.773280 ex
530 37.537470 121.568700 58.172090 ex
531 31.485030 84.043380 55.066260 ex
532 2.250650 74.536610 31.257550 ex
533 23.544550 80.453020 58.225160 ex
534 23.138320 67.397220 33.380390 ex
535 15.652010 70.316080 23.671320 ex
536 12.103330 76.949330 50.609720 ex
537 3.023050 77.871860 53.218600 ex
538 22.665970 76.639450 89.537750 ex
539 19.061540 78.676070 72.871850 ex
540 7.923680 76.658130 50.724350 ex
541 20.655710 69.173580 31.363700 ex
542 10.391160 74.017160 32.427970 ex
543 4.656890 74.890150 27.723620 ex
544 15.775240 73.722610 26.924220 ex
545 12.828480 77.403370 17.021750 ex
546 11.490640 79.179580 15.040770 ex
547 2.865290 73.921550 41.395990 ex
548 11.778850 75.296550 32.696290 ex
549 16.006030 79.017850 43.955040 ex
550 10.794430 77.250270 50.296790 ex
551 15.575310 74.737890 71.851230 ex
552 7.874770 77.954430 49.428370 ex
553 9.880500 81.398460 44.284320 ex
554 13.988240 86.239920 60.084870 ex
555 68.925830 103.754870 83.658970 ex
556 69.336850 104.776940 82.797060 ex
557 69.786350 121.267140 61.295960 ex
558 69.625110 122.808070 60.095650 ex
559 69.385930 124.172710 60.559730 ex
560 66.539170 78.493980 58.686480 ex
561 67.358850 79.802650 58.707840 ex
562 67.533890 80.837810 60.169880 ex
563 68.622050 88.933900 54.581280 ex
564 68.777310 88.545750 52.931030 ex
565 68.789870 89.726690 51.910220 ex
566 68.515750 90.585240 55.680870 ex
567 68.737770 91.393070 51.997350 ex
568 68.667060 92.534110 53.338840 ex
569 70.282850 119.774670 60.814070 ex
570 68.289960 83.474320 61.491260 ex
571 68.797950 87.473210 61.900350 ex
572 68.798560 88.942880 62.060610 ex
573 68.472590 89.586550 63.575850 ex
574 69.516850 102.899480 83.199440 ex
575 68.665290 103.661240 85.159880 ex
576 71.454940 104.296180 103.260500 ex
577 70.002960 120.435710 61.906750 ex
578 70.569350 88.292480 50.767550 ex
579 63.816780 106.966290 95.362660 ex
580 64.959200 107.238800 95.420720 ex
581 63.699390 108.038180 94.764100 ex
582 63.540120 107.263860 95.968310 ex
583 68.759180 105.827900 83.621880 ex
584 69.505480 104.670350 80.001990 ex
585 66.355410 107.225680 95.892330 ex
586 67.149700 108.710750 95.220770 ex
587 67.112460 105.795340 96.719970 ex
588 69.135880 107.189070 82.798630 ex
589 65.946960 77.994720 59.758290 ex
590 68.589790 92.020950 55.218650 ex
591 68.713670 84.917890 61.472100 ex
592 69.564590 98.693940 87.994710 ex
593 68.553110 105.007980 84.948690 ex
594 68.684010 104.933780 74.721880 ex
595 71.863810 103.055420 103.396010 ex
596 71.594090 102.199480 102.045970 ex
597 70.920730 102.677330 100.703100 ex
598 70.343030 104.406800 101.241980 ex
599 69.723940 104.613760 74.857320 ex
600 70.268820 108.537430 81.683410 ex
601 70.701870 109.017630 77.166610 ex
602 70.806960 111.893020 75.607350 ex
603 72.002730 114.449730 87.221640 ex
604 69.333810 90.417950 52.890830 ex
605 69.757820 90.751760 51.668450 ex
606 73.902630 81.879070 65.066890 ex
607 73.985820 82.135560 63.403510 ex
608 80.844300 108.374750 85.343320 ex
609 77.351950 110.666800 97.584470 ex
610 76.274840 112.837070 103.011500 ex
611 76.859890 122.284740 99.229940 ex
612 66.036990 110.150040 94.283030 ex
613 68.656470 108.495270 95.223420 ex
614 63.198130 109.022270 94.114220 ex
615 64.247140 110.094060 93.756560 ex
616 62.544570 108.692950 94.770280 ex
617 75.586710 111.862030 105.033320 ex
618 68.601530 108.474290 83.284790 ex
619 69.211160 106.190870 80.098210 ex
620 63.462470 111.207480 92.709390 ex
621 69.073460 108.612170 84.576850 ex
622 68.771380 109.737200 82.270980 ex
623 69.615660 112.829240 68.360850 ex
624 64.325020 117.029180 89.152280 ex
625 63.317090 124.527930 79.319410 ex
626 69.683350 107.962320 62.331170 ex
627 69.053010 108.542160 56.017100 ex
628 71.134150 105.191560 92.714350 ex
629 68.317310 130.480230 54.348450 ex
630 67.452140 132.224450 51.413500 ex
631 67.946890 135.667640 49.506040 ex
632 64.437290 120.482700 104.571800 ex
633 63.335050 120.591040 105.135220 ex
634 62.224110 120.327610 104.531060 ex
635 65.321860 120.013430 103.482150 ex
636 68.860490 118.358930 102.000620 ex
637 61.964780 117.113360 88.732920 ex
638 70.662620 124.104790 94.703040 ex
639 61.694130 120.640090 104.712050 ex
640 63.070850 124.954320 78.912030 ex
641 71.447060 104.531550 77.670590 ex
642 70.279890 105.959220 83.325620 ex
643 70.843390 105.691480 76.808360 ex
644 70.760310 106.638430 76.880920 ex
645 78.990620 108.525170 86.883520 ex
646 70.714170 107.796150 77.879880 ex
647 70.748010 107.859910 76.167650 ex
648 70.487920 110.524120 77.077710 ex
649 69.888350 109.922330 73.623930 ex
650 80.429590 110.791230 86.769140 ex
651 78.915370 112.151460 87.813170 ex
652 70.430800 111.633610 74.281750 ex
653 70.616480 113.320920 76.405550 ex
654 70.081190 112.762560 72.491390 ex
655 73.366560 114.837880 88.872740 ex
656 70.314540 114.327300 71.953200 ex
657 69.950120 114.141350 70.002180 ex
658 70.072050 114.909050 69.000440 ex
659 70.065440 113.952980 66.905150 ex
660 71.818910 119.240520 84.602160 ex
661 77.839480 118.133460 84.305180 ex
662 95.212790 123.965880 96.749930 ex
663 73.104860 96.532260 77.918410 ex
664 70.710890 129.846380 52.778760 ex
665 71.516140 130.988000 50.771580 ex
